OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
33362,33526,FS-1474275,81.48,1217978640,59.37,1218024300,81.48,1217978640,56.83,1217943300,29.32,0.25,,0.17,0,0,,0,,1217939340,1217991720,81.98,1217978640,58.88,1218024300,81.98,1217978640,56.34,1217943300,1217919600,0,1217919600,252,21.87,1217969820,6.3,45.505,-114.5933333,-7,America/Los_Angeles
33394,33559,FS-1474329,78.45,1215903600,43.82,1215953220,78.45,1215903600,42.61,1215866280,36.86,0.47,,0.34,0,0,,0,,1215865740,1215921420,78.95,1215903600,43.33,1215953220,78.95,1215903600,42.12,1215866280,1215846000,,,32,10.28,1215891240,1.94,46.11944444,-121.4997222,-7,America/Los_Angeles
33426,33592,FS-1474374,91.93,1219004940,58.93,1219071600,91.93,1219004940,65.23,1218980280,49.6,0.39,rain,0.54,0.0016,0.0181,1219031160,0.39,rain,1218978840,1219028940,92.43,1219004940,58.44,1219071600,92.43,1219004940,64.74,1218980280,1218956400,8,1219003740,268,15.11,1219031760,2.38,44.42361111,-121.5055556,-7,America/Los_Angeles
33491,33657,FS-1474449,89.5,1214348220,60.83,1214395860,89.5,1214348220,62.87,1214313600,44.09,0.33,partly-cloudy-day,0.7,0,0,,0,,1214311260,1214365320,90,1214348220,60.34,1214395860,90,1214348220,62.38,1214313600,1214290800,8,1214331000,25,8.81,1214340540,3.8,40.15027778,-121.8475,-7,America/Los_Angeles
33544,33711,FS-1474509,87.45,1214078160,56.12,1214139240,87.45,1214078160,63.3,1214045460,40.73,0.3,,0.61,0.0001,0.001,1214096280,0.04,rain,1214051940,1214106000,87.95,1214078160,55.63,1214139240,87.95,1214078160,62.81,1214045460,1214031600,6,1214082000,159,15.48,1214085240,4.11,40.05472222,-121.6255556,-7,America/Los_Angeles
33566,33733,FS-1474536,87.86,1214081400,62.98,1214139780,87.86,1214081400,66.38,1214043060,39.63,0.29,rain,0.61,0.0004,0.006,1214096340,0.33,rain,1214051940,1214105220,88.36,1214081400,62.49,1214139780,88.36,1214081400,65.89,1214043060,1214031600,,,218,13.98,1214096280,2.76,37.895,-119.9180556,-7,America/Los_Angeles
33685,33852,FS-1474686,79.97,1218145740,48.22,1218197340,79.97,1218145740,52.69,1218117420,44.29,0.49,rain,0.23,0.0094,0.1526,1218117540,0.89,rain,1218113700,1218165420,80.47,1218145740,48.48,1218201840,80.47,1218145740,52.2,1218117420,1218092400,,,3,28.36,1218153900,3.56,44.34055556,-119.7127778,-7,America/Los_Angeles
33686,33853,FS-1474687,51.12,1202664600,8.04,1202730480,51.12,1202664600,13.89,1202702400,13.97,0.33,clear-day,0.14,0,0,,0,,1202645820,1202684100,50.79,1202664600,16.26,1202733600,50.79,1202664600,24.46,1202702400,1202619600,3,1202666400,281,38.59,1202676360,13.31,37.4325,-80.11777778,-5,America/New_York
33690,33857,FS-1474693,52.64,1202504940,31.35,1202533200,52.64,1202504940,29.03,1202475000,26.48,0.64,partly-cloudy-day,0.07,0,0,,0,,1202473080,1202511120,53.14,1202504940,30.86,1202533200,53.14,1202504940,28.54,1202475000,1202446800,4,1202493120,277,12.43,1202500800,1.57,37.41083333,-79.76805556,-5,America/New_York
33692,33859,FS-1474695,77.12,1218141660,51.95,1218203460,77.12,1218141660,53.11,1218175140,47.41,0.61,rain,0.23,0.0231,0.2917,1218171600,0.97,rain,1218113820,1218165540,77.62,1218141660,51.46,1218203460,77.62,1218141660,52.62,1218175140,1218092400,0,1218092400,137,16.34,1218153660,3.52,44.48277778,-120.2172222,-7,America/Los_Angeles
33748,33915,FS-1474763,84.07,1226613600,62.52,1226659320,84.07,1226613600,55.5,1226572800,34.27,0.3,wind,0.54,0,0,,0,,1226586720,1226624220,84.57,1226613600,62.03,1226659320,84.57,1226613600,55.01,1226572800,1226563200,4,1226602800,38,64,1226637480,10.03,34.45777778,-119.6605556,-8,America/Los_Angeles
33940,34113,FS-1475027,57.4,1226778420,30.59,1226840280,63.21,1226728800,39.55,1226811600,39.69,0.64,rain,0.61,0.0002,0.0042,1226732400,0.41,rain,1226751960,1226790000,57.9,1226778420,32.86,1226839320,63.6,1226728800,39.06,1226811600,1226728800,4,1226768760,324,23.51,1226768520,8.1,31.09833333,-89.11166667,-6,America/Chicago
33942,34115,FS-1475029,45.14,1227301140,23.27,1227358560,45.14,1227301140,26.57,1227272520,23.48,0.52,clear-day,0.82,0,0,,0,,1227270660,1227308220,49.65,1227301020,22.64,1227358260,49.65,1227301020,28.54,1227330000,1227247200,4,1227289440,8,22.37,1227261720,7.75,31.125,-89.13,-6,America/Chicago
34017,34190,FS-1475119,82.75,1214096460,59.33,1214139240,82.75,1214096460,66.95,1214114400,48.04,0.41,rain,0.61,0.0019,0.0162,1214088960,0.53,rain,1214051940,1214106300,83.25,1214096460,58.84,1214139240,83.25,1214096460,66.46,1214114400,1214031600,9,1214081700,330,11.4,1214067900,2.78,40.80722222,-122.0977778,-7,America/Los_Angeles
