OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
230385,234432,W-2537,85.99,933802920,45.35,933860640,85.99,933802920,60.54,933770040,47.31,0.45,rain,0.77,0.0015,0.0315,933811200,1,rain,933771060,933822240,86.49,933802920,47.8,933860100,86.49,933802920,60.05,933770040,933750000,10,933793080,52,,,13.73,40.5896,-117.5382,-7,America/Los_Angeles
230386,234433,W-2534,90.33,933802920,52.63,933860100,90.33,933802920,64.88,933770040,47.31,0.39,rain,0.77,0.0015,0.0315,933811200,1,rain,933771120,933822360,90.83,933802920,52.14,933860100,90.83,933802920,64.39,933770040,933750000,9,933793080,52,,,13.73,40.8507,-117.9946,-7,America/Los_Angeles
230387,234434,W-2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5374,-118.5949,-7,America/Los_Angeles
230389,234436,W-2520,90.37,933802920,52.67,933860100,90.37,933802920,64.92,933770040,47.31,0.39,rain,0.77,0.0015,0.0315,933811200,1,rain,933771180,933822360,90.87,933802920,52.18,933860100,90.87,933802920,64.43,933770040,933750000,9,933793080,52,,,13.73,40.7057,-118.0515,-7,America/Los_Angeles
230396,234444,W-2302,90.65,933802920,52.95,933860100,90.65,933802920,65.2,933770040,47.31,0.39,rain,0.77,0.0015,0.0315,933811200,1,rain,933771180,933822420,91.15,933802920,52.46,933860100,91.15,933802920,64.71,933770040,933750000,9,933793080,52,,,13.73,41.0682,-118.1676,-7,America/Los_Angeles
230398,234446,W-2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5857,-118.499,-7,America/Los_Angeles
230399,234447,W-2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7524,-118.5524,-7,America/Los_Angeles
230403,234451,W-2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4968,-117.0246,-7,America/Los_Angeles
230404,234452,W-2528,84.52,933895800,55.47,933937200,84.52,933895800,53.53,933861000,35.79,0.34,,0.8,,,,,,933857700,933908700,85.02,933895800,54.98,933937200,85.02,933895800,53.04,933861000,933836400,9,933883140,282,,,9.01,40.3166,-118.1676,-7,America/Los_Angeles
230405,234453,W-2316,68.91,933967980,41.57,934036740,68.91,933967980,35.5,933943920,42.64,0.62,clear-day,0.84,0,0,,0,,933944100,933995040,69.41,933967980,41.52,934011360,69.41,933967980,39.78,933943740,933922800,10,933969540,283,,,11.39,40.7816,-118.1674,-7,America/Los_Angeles
230406,234454,W-2317,70.23,933967980,43.3,934036740,70.23,933967980,37.1,933943920,42.64,0.59,clear-day,0.84,0,0,,0,,933943860,933994920,70.73,933967980,42.85,934011360,70.73,933967980,41.1,933943740,933922800,10,933969360,283,,,11.39,41.0971,-117.3243,-7,America/Los_Angeles
230435,234484,W-2761,90.78,935444220,50.16,935492700,90.78,935444220,58.07,935416560,47.28,0.42,rain,0.41,0.0014,0.059,935452800,1,rain,935413920,935462460,91.28,935444220,49.67,935492700,91.28,935444220,57.58,935416560,935391600,8,935434740,112,,,7.5,40.7493,-118.0515,-7,America/Los_Angeles
230440,234489,W-2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6499,-118.6335,-7,America/Los_Angeles
230596,234657,W-18686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9964,-107.0467,-6,America/Denver
230838,234905,W-40176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4001,-105.8005,-6,America/Denver
230867,234934,W-35384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1334,-105.8172,-6,America/Denver
230868,234935,W-35385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1501,-105.7839,-6,America/Denver
230875,234942,W-35393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5334,-108.6506,-6,America/Ojinaga
230879,234947,W-35403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5501,-107.1672,-6,America/Denver
230894,234962,W-35420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5501,-106.7339,-6,America/Denver
230919,234987,W-30174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8834,-106.0672,-6,America/Denver
230937,235005,W-30180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2834,-107.1672,-6,America/Denver
230939,235007,W-30205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0668,-105.9172,-6,America/Denver
